train_size_core,train_time_sec,accuracy
6,1249.8035907745361,0.8300698739517475
8,954.2323036193848,0.8300698739517475
10,769.6912250518799,0.8300698739517475
12,675.1142253875732,0.8300698739517475
14,583.704222202301,0.8300698739517475
16,494.51855397224426,0.8300698739517475
18,490.0929124355316,0.8300698739517475
20,465.5547819137573,0.8300698739517475
22,439.37646317481995,0.8300698739517475
24,414.1352381706238,0.8300698739517475
26,408.9771339893341,0.8300698739517475
28,387.8054482936859,0.8300698739517475
30,377.2627983093262,0.8300698739517475
32,389.00774812698364,0.8300698739517475
